Year,Course,Round,Hole,Par,Avg_Score,Eagles,Birdies,Pars,Bogeys,Doubles,Pin_X_Normalized,Pin_Y_Normalized
2024,Pebble Beach Golf Links,2,10,4,3.975,0,5,32,2,1,0.4578354850374761,0.5421645149625238
2024,Pebble Beach Golf Links,2,11,4,3.875,0,9,27,4,0,0.5075530872994708,0.4924469127005292
2024,Pebble Beach Golf Links,2,12,3,3.1,0,2,32,6,0,0.5798699357392081,0.4201300642607919
2024,Pebble Beach Golf Links,2,13,4,4.125,0,1,33,6,0,0.5040184903252763,0.49598150967472365
2024,Pebble Beach Golf Links,2,14,5,4.75,0,14,23,2,1,0.566425086972429,0.433574913027571
2024,Pebble Beach Golf Links,2,15,4,3.775,0,9,31,0,0,0.5349901959983552,0.4650098040016448
2024,Pebble Beach Golf Links,2,16,4,4.0,0,7,27,5,1,0.5699791358862313,0.4300208641137687
2024,Pebble Beach Golf Links,2,17,3,2.95,0,5,32,3,0,0.4582810071231194,0.5417189928768806
2024,Pebble Beach Golf Links,2,18,5,4.65,1,19,16,2,1,0.49249994425962595,0.507500055740374
2024,Pebble Beach Golf Links,1,1,4,3.85,0,8,30,2,0,0.5537149394989272,0.44628506050107275
2024,Pebble Beach Golf Links,1,2,5,4.425,1,22,16,1,0,0.3915280870302113,0.6084719129697886
2024,Pebble Beach Golf Links,1,3,4,3.975,0,3,35,2,0,0.5890592931330515,0.4109407068669485
2024,Pebble Beach Golf Links,1,4,4,3.975,0,5,31,4,0,0.6238390588914208,0.3761609411085792
2024,Pebble Beach Golf Links,1,5,3,3.2,0,5,22,13,0,0.3447963060753744,0.6552036939246255
2024,Pebble Beach Golf Links,1,6,5,4.475,1,21,16,2,0,0.46525867008165384,0.5347413299183461
2024,Pebble Beach Golf Links,1,7,3,3.0,0,4,33,2,1,0.5728087189007629,0.4271912810992371
2024,Pebble Beach Golf Links,1,8,4,3.8,0,13,22,5,0,0.4962747088386751,0.5037252911613249
2024,Pebble Beach Golf Links,1,9,4,4.4,0,4,17,18,1,0.6449405965727177,0.35505940342728226
2024,Pebble Beach Golf Links,1,10,4,4.275,0,1,28,10,1,0.45916071195248415,0.5408392880475159
2024,Pebble Beach Golf Links,1,11,4,3.9,0,9,26,5,0,0.5072192586466573,0.4927807413533427
2024,Pebble Beach Golf Links,1,12,3,3.2,0,3,27,9,1,0.5798699357392081,0.4201300642607919
2024,Pebble Beach Golf Links,1,13,4,3.95,0,7,29,3,1,0.5039559311025197,0.4960440688974803
